Author,Title of Work,Journal,Volume,Issue,Pages,Year,Book Title,Editor,Downloaded?,Filename
"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,,,,,2009,The Cambridge Companion to Hume,"Norton, David Fate  Taylor, Jacqueline Anne",yes,MCIHAT-2.pdf
"Garral, Michael D.",Is the Self in Hume Overmoralized?,Revista de Filosofía (Madrid),32,1,165--183,2007,,,YES,GARITS-2.pdf
"Bricke, John",Review Humes Philosophy of the Self,Mind,113,450,384--387,2004,,,yes,EPIHPO.pdf
"Strawson, Galen",All My Hopes Vanish Hume on the Mind,,,,181,2012,The Continuum Companion to Hume,"Bailey, Alan  OBrien, Dan",yes,STRAMH-2.pdf
"Noonan, Harold",The Self and Personal Identity,,,,167,2012,The Continuum Companion to Hume,"Bailey, Alan  OBrien, Dan",yes,NOOTSA-2.pdf
"Ware, Owen  Ainslie, Donald C.",Consciousness and Personal Identity,,,,245--264,2014,The Routledge Companion to Eighteenth Century Philosophy,"Garrett, Aaron",yes,WARCSA-3.pdf
"Ainslie, Donald C.",Hume on Personal Identity,,,,140-157,2008,A Companion to Hume,Elizabeth Radcliffe,yes,1173780.pdf
"Mathur, D. C.","The Historical Buddha (Gotama), Hume, and James on the Self Comparisons and Evaluations",Philosophy East and West,28,3,253--269,1978,,,yes,MATTHB.pdf
"Giles, James","The No-Self Theory Hume, Buddhism, and Personal Identity",Philosophy East and West,43,2,175--200,1993,,,yes,GILTNT.pdf
"Romeo, Sergio Rábade",Fenomenismo y Yo Personal En Hume,Logos. Anales Del Seminario de Metafîsica (Madrid),8,n/a,7,1973,,,yes,ROMFYY-2.PDF
"Pike, Nelson",Humes Bundle Theory of the Self A Limited Defense,American Philosophical Quarterly,4,2,159--165,1967,,,yes,PIKHBT.pdf
"Biro, J. I.",Hume on Self-Identity and Memory,Review of Metaphysics,30,1,19--38,1976,,,yes,BIRHOS.pdf
"Bricke, John","Penelhum, Terence. Themes in Hume The Self, the Will, Religion",Review of Metaphysics,55,4,871--873,2002,,,yes,BRIPTT.pdf
"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,Mind,118,469,181--185,2009,,,yes,LOERPJ.pdf
"GalIagher, Shaun",The Theater of Personal Identity From Hume to Derrida,The Personalist Forum,8,Supplement,21--30,1992,,,YES,GALTTO-3.pdf
"Clack, Robert J.",Chisholm and Hume on Observing the Self,Philosophy and Phenomenological Research,33,March,338--348,1973,,,yes,CLACAH.pdf
"Penelhum, Terence",Hume on Personal Identity,Philosophical Review,64,4,571--589,1955,,,yes,PENHOP-2.pdf
"Garrett, Don",Humes Self-Doubts About Personal Identity,Philosophical Review,90,3,337--358,1981,,,yes,GARHSA.pdf
"Schwerin, Alan",Russell on Humes Account of the Self,Russell The Journal of Bertrand Russell Studies,33,1,31--47,2013,,,yes,SCHROH-5.pdf
"Zinkin, Melissa","Review Theil, Udo, The Early Modern Subject Self-Consciousness and Personal Identity From Descartes to Hume",Review of Metaphysics,67,1,193--195,2013,,,yes,ZINTUT.pdf
"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,Metaphilosophy,40,2,292--296,2009,,,yes,AINPAR.pdf
"Dussinger, J. A.",David Humes Denial of Personal Identity The Making of a Skeptic,Imago,37,,,1980,,,yes,DUSDHD.pdf
"Roth, Abraham Sesshu",What Was Humes Problem with Personal Identity?,Philosophical and Phenomenological Research,61,1,91--114,2000,,,Yes,ROTWWH.pdf
"Garrett, Don",Book Review. Space and the Self in Humes Treatise Marina Frasca-spada,Mind,110,438,460--464,2001,,,yes,FRASAT-13.pdf
"Yang, Xiaomei",Humes View on Personal Identity Scepticism or Nonscepticism?,History of Philosophy Quarterly,15,1,37--56,1998,,,yes,YANHVO.pdf
"Inukai, Yumiko",Humes Labyrinth The Bundling Problem,History of Philosophy Quarterly,24,3,255--274,2007,,,Yes,INUHLT.pdf
"Richards, Glyn","Conceptions of the Self in Wittgenstein, Hume, and Buddhism An Analysis and Comparison",The Monist,61,1,42--55,1978,,,yes,RICCOT-11.pdf
"Pereira, Francisco",Hume y la Ficcíon de Identidad Personal,Ideas Y Valores,63,154,191--213,2014,,,yes,PERHYL.pdf
"Scarre, Geoffrey",What Was Humes Worry About Personal Identity?,Analysis,43,4,217,1983,,,yes,SCAWWH-2.pdf
"Ainslie, Donald C.","Review Hume, a Scottish Socrates?",Canadian Journal of Philosophy,33,1,133--154,2003,,,yes,AINRHA.pdf
"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",Philosophy,87,1,127--132,2012,,,yes,PITTEC.pdf
"Penelhum, Terence M.",The Self in Hume\textquoterights Philosophy,Southwestern Journal of Philosophy,7,2,9--23,1976,,,yes,PENTSI.pdf
"Cottrell, Jonathan","Minds, Composition, and Humes Skepticism in the Appendix",Philosophical Review,124,4,533--569,2015,,,Yes,COTMCA-2.pdf
"Swain, Corliss Gayda",Personal Identity and the Skeptical System of Philosophy,,,,,2006,The Blackwell Guide to Humes Treatise,"Traiger, Saul",yes,SWAPIA-2.pdf
"Roth, Robert J.",Hume and James on Personal Identity,American Catholic Philosophical Quarterly,64,2,233--247,1990,,,yes,ROTHAJ.pdf
"Humber, James M.",Humes Invisible Self,American Catholic Philosophical Quarterly,69,3,485--501,1995,,,yes,HUMHIS.pdf
"Kail, P. J. E.",Projection and Realism in Humes Philosophy,,,,,2007,key chapter is 6,,yes,KAIPAR.pdf
"Green, Michael J.",The Idea of a Momentary Self and Humes Theory of Personal Identity,British Journal for the History of Philosophy,7,1,103--122,1999,,,yes,GRETIO-4.pdf
"Hatfield, Gary","Hume, Space, and the Self",British Journal for the History of Philosophy,17,5,1011--1019,2009,,,yes,HATHSA.pdf
"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,British Journal for the History of Philosophy,20,2,363--389,2012,,,yes,INUJAT.pdf
"Singer, Ira","Themes in Hume The Self, the Will, Religion",Ethics,113,4,905--907,2003,,,yes,IRATIH.pdf
"Noonan, H.",A E Pitson Humes Philosophy of the Self,British Journal for the History of Philosophy,12,2,352--354,2004,,,yes,NOOAPH.pdf
"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",European Journal of Philosophy,21,S1,2--7,2013,,,yes,STRTEC-2.pdf
"Flage, Daniel E.  Glass, Ronald J.",Hume on the Cartesian Theory of Substance,Southern Journal of Philosophy,22,4,497--508,1984,,,YES,FLAHOT.pdf
"Melchert, Norman",Humes Appendix on Personal Identity,Philosophy Research Archives,1,,323--335,1975,,,yes,MELHAO.pdf
"Coventry, Angela","The Early Modern Subject Self-Consciousness and Personal Identity From Descartes to Hume, by Udo Thiel",Mind,121,484,1132--1135,2012,,,yes,COVROT-2.pdf
"Gilead, Amihud",A Humean Argument for Personal Identity,Metaphysica,9,1,1--16,2008,,,yes,AMIAHA.pdf
"Ashley, Lawrence  Stack, Michael",Humes Theory of the Self and its Identity,Dialogue,13,2,239--254,1974,,,yes,ASHHTO.pdf
"Penelhum, Terence",Humes Theory of the Self Revisited,Dialogue,14,3,389--409,1975,,,yes,PENHTO.pdf
"Flage, Daniel E.",Humes Philosophy of the Self,International Philosophical Quarterly,44,2,276--278,2004,,,YEs,FLAHPO-4.pdf
"Kail, Peter J. E.",On Humes Appropriation of Malebranche Causation and Self,European Journal of Philosophy,16,1,55--80,2008,,,Yes,KAIOHA-2.pdf
"Levin, Michael E.",Bundling Hume with Kripkenstein,Synthese,155,1,35--64,2007,,,yes,LEVBHW-2.pdf
"Murray, D. W.",What Is the Western Concept of the Self? On Forgetting David Hume,Ethos Journal of the Society for Psychological Anthropology,21,1,3--23,1993,,,yes,MURWIT.pdf
"Spector, Jessica","Looking Through the Minds I Empiricism, Moral Psychology, and Humes Trouble with the Self",,,,,1998,,,yes,SPELTT.pdf
"Penelhum, Terence","Themes in Hume The Self, the Will, Religion",,,,,2000,"key chapters are 2-6, have 2, 4, 5, will create a single file for these",,yes,PENTIH.pdf
"Mijuskovic, Ben",Hume and Shaftesbury on the Self,Philosophical Quarterly,21,85,324--336,1971,,,yes,MIJHAS.pdf
"Mendus, Susan",Personal Identity The Two Analogies in Hume,Philosophical Quarterly,30,118,61--68,1980,,,yes,MENPIT.pdf
"Butchvarov, Panayot",The Self and Perceptions  a Study in Humean Philosophy,Philosophical Quarterly,9,35,97--115,1959,,,yes,BUTTSA-3.pdf
"Robison, Wade L.",Hume on Personal Identity,Journal of the History of Philosophy,12,2,181--193,1974,,,yes,ROBHOP.pdf
"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,Journal of the History of Philosophy,37,3,469--492,1999,,,Yes,AINSAP-2.pdf
"Buckle, Stephen",Projection and Realism in Hume\textquoterights Philosophy,Hume Studies,34,1,163--165,2008,,,yes,BUCPAR.pdf
"Pears, David",Hume on Personal Identity,Hume Studies,19,2,289--299,1993,,,yes,PEAHOP-2.pdf
"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,Hume Studies,21,2,289--313,1995,,,yes,AINTPO.pdf
"Russell, Paul","Faith, Scepticism & Personal Identity A Festschrift for Terence Penelhum (Review)",Hume Studies,21,2,351--354,1995,,,yes,RUSFS-3.pdf
"Purviance, Susan M.",The Moral Self and the Indirect Passions,Hume Studies,23,2,195--212,1997,,,yes,PURTMS.pdf
"Winkler, Kenneth P.",All Is Revolution in Us Personal Identity in Shaftesbury and Hume,Hume Studies,26,1,3--40,2000,,,Yes,WINAIR.pdf
"Pears, David",Humes Recantation of His Theory of Personal Identity,Hume Studies,30,2,257--264,2004,,,Yes,PEAHRO.pdf
"Purviance, Susan M.",Humes Philosophy of the Self,Hume Studies,30,1,191--197,2004,,,yes,PURHPO-3.pdf
"McIntyre, Jane L.",So Great a Question A Critical Study of Raymond Martin and John Barresi,Hume Studies,29,2,363--373,2003,,,yes,MCISGA.pdf
"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,Hume Studies,32,2,195--231,2006,,,Yes,ELLTCO-4.pdf
"Falkenstein, Lorne",Space and the Self in Humes Treatise,Hume Studies,25,1/2,241--249,1999,,,yes,FALSAT-3.pdf
"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,Hume Studies,16,1,33--44,1990,,,yes,HENDHO.pdf
"Loeb, Louis E.","Causation, Extrinsic Relations, and Humes Second Thoughts About Personal Identity",Hume Studies,18,2,219--231,1992,,,yes,LOECER.pdf
"Waxman, Wayne",Humes Quandary Concerning Personal Identity,Hume Studies,18,2,233--253,1992,,,yes,WAXHQC.pdf
"Pappas, George S.",Perception of the Self,Hume Studies,18,2,275--280,1992,,,yes,PAPPOT-2.pdf
"Penelhum, Terence",The Self of Book 1 and the Selves of Book 2,Hume Studies,18,2,281--291,1992,,,yes,PENTSO-2.pdf
"Lesser, Harry",Reids Criticism of Humes Theory of Personal Identity,Hume Studies,4,2,41--63,1978,,,yes,LESRCO.pdf
"McIntyre, Jane L.",Further Remarks on the Consistency of Humes Account of the Self,Hume Studies,5,1,55--61,1979,,,yes,MCIFRO.pdf
"Nathanson, Stephen",Humes Second Thoughts on the Self,Hume Studies,2,1,36--46,1976,,,yes,NATHST.pdf
"Patten, S. C.","Humes Bundles, Self-Consciousness and Kant",Hume Studies,2,2,59--75,1976,,,yes,PATHBS.pdf
"Davie, William",Hume on Perceptions and Persons,Hume Studies,10,2,125--138,1984,,,yes,DAVHOP.pdf
"Swain, Corliss Gayda",Being Sure of Ones Self Hume on Personal Identity,Hume Studies,17,2,107--124,1991,,,yes,SWABSO.pdf
"Tomhave, Alan","Cartesian Intuitions, Humean Puzzles, and the Buddhist Conception of the Self",Philosophy East and West,60,4,443--457,2010,,,yes,TOMCIH.pdf
"Carlson, Åsa",There Is Just One Idea of Self in Humes Treatise,Hume Studies,35,1-2,171--184,2009,,,yes,CARTIJ.pdf
"Kail, P. J. E.",Précis of Projection and Realism in Humes Philosophy,Hume Studies,36,1,61--65,2010,,,yes,KAIPOP-2.pdf
"Garrett, Don",Once More Into the Labyrinth Kail\textquoterights Realist Explanation of Hume\textquoterights Second Thoughts About Personal Identity,Hume Studies,36,1,77--87,2010,,,Yes,GAROMI-3.pdf
"Roth, Abe",The Evident Connexion Hume on Personal Identity by Galen Strawson,Journal of the History of Philosophy,51,3,491--492,2013,,,yes,ROTTEC.pdf
"Pitson, Tony",Skeptical Realism and Hume on the Self,Hume Studies,39,1,37--59,2013,,,Yes,PITSRA-2.pdf
"Greco, Lorenzo",The Self as Narrative in Hume,Journal of the History of Philosophy,53,4,699--722,2015,,,Yes,GRETSA-6.pdf
"Stoklosa, Anna",Projection and Realism in Humes Philosophy,Australasian Journal of Philosophy,87,1,173--174,2009,,,yes,STOPAR.pdf
"Coventry, Angela","Review P. J. E. Kail, Projection and Realism in Humes Philosophy",Notre Dame Philosophical Reviews,2008,7,,2008,,,yes,COVROP.pdf
"Lybaert, Fauve",Could Hume Save His Account of Personal Identity? On the Role of Contiguity in the Constitution of Our Idea of Personal Identity,Prolegomena,11,2,181--195,2012,,,Yes,LYBCHS.pdf
"Rocknak, Stefanie",Hume and the External World,,,,124--136,2019,The Humean Mind,"Sager, Alex  Coventry, Angela",yes,ROCHAT-4.pdf
"Rocknak, Stefanie",Imagined Causes Humes Conception of Objects,,,,,2012,,,yes,ROCICH.pdf
"Schwerin, Alan Kenneth","Is Hume Attempting to Introduce a New, Pragmatic Conception of a Contradiction in His Treatise?",Principia An International Journal of Epistemology,20,3,315--323,2016,,,yes,SCHIHA-3.pdf
"Schwerin, Alan",Hume on the Self,Metaphysica,13,1,65-85,2012,,,yes,SCHHOT-7.pdf
"Sirswal, Desh Raj",The Concept of the Self in David Hume and the Buddha,Satya Nilayam Chennai Journal of Intracultural Philosophy,,No.17,22--34,2010,,,Yes,SIRTCO.pdf
"Strawson, Galen",The Evident Connexion,,,,,2011,The Evident Connexion,,Yes,STRTEC.pdf
"Thiel, Udo",The Early Modern Subject Self-Consciousness and Personal Identity From Descartes to Hume,,,,,2011,key chapters are 13 and 14,,yes,THITEM.pdf
"Winkler, Kenneth P.",P.J.E. Kails Projection and Realism in Humes Philosophy,Philosophical Books,51,3,144--159,2010,,,yes,WINPKP.pdf